year,country,iso3,currency_code,region,decade,gasoline_usd_per_liter,gasoline_usd_per_gallon,gasoline_real_2024usd,diesel_usd_per_liter,diesel_real_2024usd,lpg_usd_per_liter,gasoline_local_currency,gasoline_yoy_pct_change,diesel_yoy_pct_change,price_tier,tax_pct_of_pump_price,pretax_price_usd_ltr,subsidy_flag,subsidy_regime,is_oil_producer,crude_oil_usd_per_barrel,crude_oil_usd_per_liter,refinery_margin_usd_ltr,oil_price_shock_idx,us_cpi,inflation_deflator_2024
1984,China,CHN,CNY,Asia,1980s,0.0636,0.2408,0.1922,0.0583,0.1762,0.0377,0.4605,3.25,1.39,Very Low (<$0.30),42.3,0.0367,1,partial,1,28.78,0.181,-0.1174,1.0,103.9,3.0221
1985,China,CHN,CNY,Asia,1980s,0.0646,0.2445,0.1885,0.0601,0.1754,0.0384,0.4677,1.57,3.09,Very Low (<$0.30),42.3,0.0373,1,partial,1,27.56,0.1733,-0.1087,1.0,107.6,2.9182
1986,China,CHN,CNY,Asia,1980s,0.0682,0.2582,0.1954,0.0621,0.1779,0.0411,0.4938,5.57,3.33,Very Low (<$0.30),42.4,0.0393,1,partial,1,14.43,0.0908,-0.0226,0.75,109.6,2.865
1987,China,CHN,CNY,Asia,1980s,0.0735,0.2782,0.2032,0.0665,0.1838,0.044,0.5321,7.77,7.09,Very Low (<$0.30),42.4,0.0423,1,partial,1,18.44,0.116,-0.0425,1.0,113.6,2.7641
1988,China,CHN,CNY,Asia,1980s,0.0783,0.2964,0.2078,0.0733,0.1946,0.0476,0.5669,6.53,10.23,Very Low (<$0.30),42.5,0.045,1,partial,1,14.92,0.0938,-0.0155,1.0,118.3,2.6543
1989,China,CHN,CNY,Asia,1980s,0.0795,0.3009,0.2013,0.0731,0.1851,0.0485,0.5756,1.53,-0.27,Very Low (<$0.30),42.6,0.0456,1,partial,1,18.33,0.1153,-0.0358,1.0,124.0,2.5323
1990,China,CHN,CNY,Asia,1990s,0.0847,0.3206,0.2035,0.0762,0.1831,0.0499,0.6132,6.54,4.24,Very Low (<$0.30),42.6,0.0486,1,partial,1,23.73,0.1493,-0.0646,1.0,130.7,2.4024
1991,China,CHN,CNY,Asia,1990s,0.0981,0.3713,0.2262,0.0888,0.2047,0.0584,0.7102,15.82,16.54,Very Low (<$0.30),42.7,0.0562,1,partial,1,20.2,0.1271,-0.029,1.0,136.2,2.3054
1992,China,CHN,CNY,Asia,1990s,0.1127,0.4266,0.2522,0.1042,0.2332,0.0687,0.8159,14.88,17.34,Very Low (<$0.30),42.8,0.0645,1,partial,1,19.32,0.1215,-0.0088,1.0,140.3,2.2381
1993,China,CHN,CNY,Asia,1990s,0.1348,0.5103,0.2929,0.122,0.2651,0.0804,0.976,19.61,17.08,Very Low (<$0.30),42.8,0.0771,1,partial,1,16.97,0.1067,0.0281,1.0,144.5,2.173
1994,China,CHN,CNY,Asia,1990s,0.1536,0.5814,0.3254,0.14,0.2966,0.0901,1.1121,13.95,14.75,Very Low (<$0.30),42.9,0.0877,1,partial,1,15.82,0.0995,0.0541,1.0,148.2,2.1188
1995,China,CHN,CNY,Asia,1990s,0.1807,0.684,0.3723,0.1697,0.3496,0.1128,1.3083,17.64,21.21,Very Low (<$0.30),42.9,0.1032,1,partial,1,17.02,0.1071,0.0736,1.0,152.4,2.0604
1996,China,CHN,CNY,Asia,1990s,0.2019,0.7643,0.4041,0.1875,0.3752,0.1211,1.4618,11.73,10.49,Very Low (<$0.30),43.0,0.1151,1,partial,1,22.12,0.1391,0.0628,1.0,156.9,2.0013
1997,China,CHN,CNY,Asia,1990s,0.2283,0.8642,0.4466,0.2112,0.4132,0.1365,1.6529,13.08,12.64,Very Low (<$0.30),43.1,0.1299,1,partial,1,19.09,0.1201,0.1082,1.0,160.5,1.9564
1998,China,CHN,CNY,Asia,1990s,0.2494,0.9441,0.4804,0.2343,0.4514,0.1517,1.8057,9.24,10.94,Very Low (<$0.30),43.1,0.1419,1,partial,1,13.07,0.0822,0.1672,0.82,163.0,1.9264
1999,China,CHN,CNY,Asia,1990s,0.2821,1.0679,0.5317,0.2648,0.4991,0.1663,2.0424,13.11,13.02,Very Low (<$0.30),43.2,0.1602,1,partial,1,17.97,0.113,0.1691,1.0,166.6,1.8848
2000,China,CHN,CNY,Asia,2000s,0.3128,1.1841,0.5704,0.2815,0.5133,0.1871,2.2647,10.88,6.31,Low ($0.30–$0.70),43.3,0.1774,1,partial,1,30.38,0.1911,0.1217,1.0,172.2,1.8235
2001,China,CHN,CNY,Asia,2000s,0.3392,1.284,0.6014,0.3152,0.5589,0.2009,2.4558,8.44,11.97,Low ($0.30–$0.70),43.3,0.1923,1,partial,1,25.93,0.1631,0.1761,1.0,177.1,1.773
2002,China,CHN,CNY,Asia,2000s,0.361,1.3665,0.6301,0.3265,0.5699,0.225,2.6136,6.43,3.59,Low ($0.30–$0.70),43.4,0.2043,1,partial,1,26.15,0.1645,0.1965,1.0,179.9,1.7454
2003,China,CHN,CNY,Asia,2000s,0.3995,1.5123,0.6818,0.3597,0.6138,0.2368,2.8924,10.66,10.17,Low ($0.30–$0.70),43.4,0.2261,1,partial,1,31.07,0.1954,0.2041,1.0,184.0,1.7065
2004,China,CHN,CNY,Asia,2000s,0.4358,1.6497,0.7244,0.3958,0.6579,0.2636,3.1552,9.09,10.04,Low ($0.30–$0.70),43.5,0.2462,1,partial,1,41.49,0.261,0.1748,1.0,188.9,1.6623
2005,China,CHN,CNY,Asia,2000s,0.4785,1.8113,0.7693,0.4415,0.7098,0.2911,3.4643,9.8,11.55,Low ($0.30–$0.70),43.6,0.2699,1,partial,1,56.59,0.3559,0.1226,1.0,195.3,1.6078
2006,China,CHN,CNY,Asia,2000s,0.5295,2.0044,0.8247,0.4858,0.7567,0.3147,3.8336,10.66,10.03,Low ($0.30–$0.70),43.6,0.2986,1,partial,1,66.02,0.4153,0.1142,1.0,201.6,1.5575
2007,China,CHN,CNY,Asia,2000s,0.599,2.2675,0.9073,0.5407,0.819,0.3626,4.3368,13.13,11.3,Low ($0.30–$0.70),43.7,0.3372,1,partial,1,72.34,0.455,0.144,1.0,207.3,1.5147
2008,China,CHN,CNY,Asia,2000s,0.6917,2.6184,1.0088,0.6371,0.9292,0.4284,5.0079,15.48,17.83,Low ($0.30–$0.70),43.8,0.3887,1,partial,1,99.67,0.6269,0.0648,1.28,215.3,1.4584
2009,China,CHN,CNY,Asia,2000s,0.708,2.6801,1.0364,0.6551,0.959,0.4257,5.1259,2.36,2.83,Medium ($0.70–$1.10),43.8,0.3979,1,partial,1,61.74,0.3883,0.3197,0.78,214.5,1.4639
2010,China,CHN,CNY,Asia,2010s,0.7949,3.009,1.1444,0.7411,1.067,0.5062,5.7551,12.27,13.13,Medium ($0.70–$1.10),43.9,0.4459,1,partial,1,79.61,0.5007,0.2942,1.0,218.1,1.4397
2011,China,CHN,CNY,Asia,2010s,0.8118,3.073,1.1334,0.7398,1.0329,0.4889,5.8774,2.13,-0.18,Medium ($0.70–$1.10),44.0,0.4546,1,partial,1,111.26,0.6998,0.112,1.0,224.9,1.3962
2012,China,CHN,CNY,Asia,2010s,0.8854,3.3516,1.2109,0.8362,1.1436,0.5089,6.4103,9.07,13.03,Medium ($0.70–$1.10),44.0,0.4958,1,partial,1,112.01,0.7045,0.1809,1.0,229.6,1.3676
2013,China,CHN,CNY,Asia,2010s,0.8717,3.2997,1.1747,0.7902,1.0649,0.5282,6.3111,-1.55,-5.5,Medium ($0.70–$1.10),44.1,0.4873,1,partial,1,108.66,0.6835,0.1882,1.0,233.0,1.3476
2014,China,CHN,CNY,Asia,2010s,0.8898,3.3683,1.1804,0.827,1.0971,0.5357,6.4422,2.08,4.66,Medium ($0.70–$1.10),44.1,0.4974,1,partial,1,98.97,0.6225,0.2673,1.0,236.7,1.3266
2015,China,CHN,CNY,Asia,2010s,0.9372,3.5477,1.2417,0.8546,1.1323,0.5523,6.7853,5.33,3.34,Medium ($0.70–$1.10),44.2,0.523,1,partial,1,52.39,0.3295,0.6077,1.0,237.0,1.3249
2016,China,CHN,CNY,Asia,2010s,0.9993,3.7828,1.3074,0.9207,1.2046,0.5752,7.2349,6.63,7.73,Medium ($0.70–$1.10),44.3,0.5566,0,partial,1,43.74,0.2751,0.7242,1.0,240.0,1.3083
2017,China,CHN,CNY,Asia,2010s,1.0382,3.93,1.33,0.9602,1.2301,0.6346,7.5166,3.89,4.29,Medium ($0.70–$1.10),44.3,0.5783,0,partial,1,54.25,0.3412,0.697,1.0,245.1,1.2811
2018,China,CHN,CNY,Asia,2010s,1.0472,3.9641,1.3095,0.9621,1.2031,0.6383,7.5817,0.87,0.2,Medium ($0.70–$1.10),44.4,0.5822,0,partial,1,71.34,0.4487,0.5985,1.0,251.1,1.2505
2019,China,CHN,CNY,Asia,2010s,1.0828,4.0988,1.3297,0.9992,1.227,0.659,7.8395,3.4,3.86,Medium ($0.70–$1.10),44.5,0.601,0,partial,1,64.37,0.4049,0.6779,1.0,255.7,1.228
2020,China,CHN,CNY,Asia,2020s,1.1549,4.3718,1.4012,1.0456,1.2686,0.6896,8.3615,6.66,4.64,High ($1.10–$1.60),44.5,0.641,0,partial,1,41.84,0.2632,0.8917,0.72,258.8,1.2133
2021,China,CHN,CNY,Asia,2020s,1.2575,4.7602,1.457,1.1407,1.3217,0.7531,9.1043,8.88,9.1,High ($1.10–$1.60),44.6,0.6967,0,partial,1,70.86,0.4457,0.8118,1.0,271.0,1.1587
2022,China,CHN,CNY,Asia,2020s,1.3164,4.9831,1.4122,1.186,1.2723,0.788,9.5307,4.68,3.97,High ($1.10–$1.60),44.6,0.7293,0,partial,1,101.32,0.6373,0.6791,1.3,292.7,1.0728
2023,China,CHN,CNY,Asia,2020s,1.1995,4.5406,1.2361,1.0833,1.1164,0.7193,8.6844,-8.88,-8.66,High ($1.10–$1.60),44.7,0.6633,0,partial,1,82.49,0.5188,0.6807,1.0,304.7,1.0305
2024,China,CHN,CNY,Asia,2020s,1.1376,4.3063,1.1376,1.0189,1.0189,0.6854,8.2362,-5.16,-5.94,High ($1.10–$1.60),44.8,0.628,0,partial,1,80.0,0.5032,0.6344,1.0,314.0,1.0
1924,France,FRA,EUR,Europe,1920s,0.0252,0.0954,0.4627,0.0269,0.494,0.0152,0.0234,,,Very Low (<$0.30),26.0,0.0186,0,none,0,1.43,0.009,0.0162,1.0,17.1,18.3626
1925,France,FRA,EUR,Europe,1920s,0.025,0.0946,0.4486,0.0269,0.4827,0.0152,0.0233,-0.79,0.0,Very Low (<$0.30),26.0,0.0185,0,none,0,1.68,0.0106,0.0144,1.0,17.5,17.9429
1926,France,FRA,EUR,Europe,1920s,0.0264,0.0999,0.4683,0.0283,0.502,0.0151,0.0246,5.6,5.2,Very Low (<$0.30),26.0,0.0195,0,none,0,1.88,0.0118,0.0146,1.0,17.7,17.7401
1927,France,FRA,EUR,Europe,1920s,0.0257,0.0973,0.4638,0.0263,0.4746,0.0157,0.0239,-2.65,-7.07,Very Low (<$0.30),26.0,0.019,0,none,0,1.3,0.0082,0.0175,1.0,17.4,18.046
1928,France,FRA,EUR,Europe,1920s,0.0261,0.0988,0.4793,0.0271,0.4976,0.0155,0.0243,1.56,3.04,Very Low (<$0.30),26.0,0.0193,0,none,0,1.17,0.0074,0.0187,1.0,17.1,18.3626
1929,France,FRA,EUR,Europe,1920s,0.0266,0.1007,0.4884,0.0284,0.5215,0.0156,0.0247,1.92,4.8,Very Low (<$0.30),26.0,0.0197,0,none,0,1.27,0.008,0.0186,1.0,17.1,18.3626
1930,France,FRA,EUR,Europe,1930s,0.0266,0.1007,0.5001,0.0282,0.5302,0.0161,0.0247,0.0,-0.7,Very Low (<$0.30),26.0,0.0197,0,none,0,1.19,0.0075,0.0191,1.0,16.7,18.8024
1931,France,FRA,EUR,Europe,1930s,0.0277,0.1049,0.5722,0.0285,0.5887,0.0168,0.0258,4.14,1.06,Very Low (<$0.30),26.0,0.0205,0,none,0,0.65,0.0041,0.0236,1.0,15.2,20.6579
1932,France,FRA,EUR,Europe,1930s,0.0279,0.1056,0.6395,0.0291,0.667,0.0168,0.0259,0.72,2.11,Very Low (<$0.30),26.0,0.0206,0,none,0,0.87,0.0055,0.0224,1.0,13.7,22.9197
1933,France,FRA,EUR,Europe,1930s,0.0284,0.1075,0.686,0.0297,0.7174,0.0173,0.0264,1.79,2.06,Very Low (<$0.30),26.0,0.021,0,none,0,0.67,0.0042,0.0242,1.0,13.0,24.1538
1934,France,FRA,EUR,Europe,1930s,0.0284,0.1075,0.6655,0.0308,0.7217,0.0171,0.0264,0.0,3.7,Very Low (<$0.30),26.0,0.021,0,none,0,1.0,0.0063,0.0221,1.0,13.4,23.4328
1935,France,FRA,EUR,Europe,1930s,0.0296,0.112,0.6784,0.031,0.7105,0.0179,0.0275,4.23,0.65,Very Low (<$0.30),26.0,0.0219,0,none,0,0.97,0.0061,0.0235,1.0,13.7,22.9197
1936,France,FRA,EUR,Europe,1930s,0.0303,0.1147,0.6845,0.0318,0.7184,0.0186,0.0282,2.36,2.58,Very Low (<$0.30),26.0,0.0224,0,none,0,1.09,0.0069,0.0234,1.0,13.9,22.5899
1937,France,FRA,EUR,Europe,1930s,0.0308,0.1166,0.6716,0.0318,0.6934,0.0185,0.0286,1.65,0.0,Very Low (<$0.30),26.0,0.0228,0,none,0,1.18,0.0074,0.0234,1.0,14.4,21.8056
1938,France,FRA,EUR,Europe,1930s,0.031,0.1173,0.6904,0.0326,0.726,0.0188,0.0288,0.65,2.52,Very Low (<$0.30),26.0,0.0229,0,none,0,1.13,0.0071,0.0239,1.0,14.1,22.2695
1939,France,FRA,EUR,Europe,1930s,0.0313,0.1185,0.7071,0.0319,0.7206,0.0188,0.0291,0.97,-2.15,Very Low (<$0.30),26.0,0.0232,0,none,0,1.02,0.0064,0.0249,1.0,13.9,22.5899
1940,France,FRA,EUR,Europe,1940s,0.0318,0.1204,0.7132,0.0329,0.7379,0.0197,0.0296,1.6,3.13,Very Low (<$0.30),26.0,0.0235,0,none,0,1.02,0.0064,0.0254,1.0,14.0,22.4286
1941,France,FRA,EUR,Europe,1940s,0.0324,0.1226,0.6921,0.0339,0.7241,0.0199,0.0301,1.89,3.04,Very Low (<$0.30),26.0,0.024,0,none,0,1.14,0.0072,0.0252,1.0,14.7,21.3605
1942,France,FRA,EUR,Europe,1940s,0.0355,0.1344,0.6839,0.0364,0.7012,0.0214,0.033,9.57,7.37,Very Low (<$0.30),26.0,0.0263,0,none,0,1.19,0.0075,0.028,1.0,16.3,19.2638
1943,France,FRA,EUR,Europe,1940s,0.0378,0.1431,0.6861,0.0406,0.7369,0.023,0.0352,6.48,11.54,Very Low (<$0.30),26.0,0.028,0,none,0,1.2,0.0075,0.0303,1.0,17.3,18.1503
1944,France,FRA,EUR,Europe,1940s,0.0378,0.1431,0.6744,0.0391,0.6976,0.0224,0.0352,0.0,-3.69,Very Low (<$0.30),26.0,0.028,0,none,0,1.21,0.0076,0.0302,1.0,17.6,17.8409
1945,France,FRA,EUR,Europe,1940s,0.0411,0.1556,0.717,0.0438,0.7641,0.0244,0.0382,8.73,12.02,Very Low (<$0.30),26.0,0.0304,0,none,0,1.22,0.0077,0.0334,1.0,18.0,17.4444
1946,France,FRA,EUR,Europe,1940s,0.0426,0.1613,0.686,0.0445,0.7166,0.0256,0.0396,3.65,1.6,Very Low (<$0.30),26.0,0.0315,0,none,0,1.41,0.0089,0.0337,1.0,19.5,16.1026
1947,France,FRA,EUR,Europe,1940s,0.0429,0.1624,0.6041,0.0441,0.621,0.025,0.0399,0.7,-0.9,Very Low (<$0.30),26.0,0.0317,0,none,0,1.93,0.0121,0.0308,1.0,22.3,14.0807
1948,France,FRA,EUR,Europe,1940s,0.0469,0.1775,0.6111,0.0486,0.6332,0.0273,0.0436,9.32,10.2,Very Low (<$0.30),26.0,0.0347,0,none,0,2.6,0.0164,0.0305,1.0,24.1,13.029
1949,France,FRA,EUR,Europe,1940s,0.0476,0.1802,0.628,0.05,0.6597,0.0294,0.0443,1.49,2.88,Very Low (<$0.30),26.0,0.0352,0,none,0,2.54,0.016,0.0316,1.0,23.8,13.1933
1950,France,FRA,EUR,Europe,1950s,0.0507,0.1919,0.6606,0.0539,0.7023,0.0301,0.0472,6.51,7.8,Very Low (<$0.30),39.0,0.0309,0,none,0,2.51,0.0158,0.0349,1.0,24.1,13.029
1951,France,FRA,EUR,Europe,1950s,0.0507,0.1919,0.6123,0.0539,0.6509,0.0311,0.0472,0.0,0.0,Very Low (<$0.30),39.0,0.0309,0,none,0,2.53,0.0159,0.0348,1.0,26.0,12.0769
1952,France,FRA,EUR,Europe,1950s,0.0563,0.2131,0.6671,0.0584,0.692,0.0343,0.0524,11.05,8.35,Very Low (<$0.30),39.0,0.0343,0,none,0,2.53,0.0159,0.0404,1.0,26.5,11.8491
1953,France,FRA,EUR,Europe,1950s,0.0559,0.2116,0.6574,0.0586,0.6892,0.0329,0.052,-0.71,0.34,Very Low (<$0.30),39.0,0.0341,0,none,0,2.68,0.0169,0.039,1.0,26.7,11.7603
1954,France,FRA,EUR,Europe,1950s,0.0559,0.2116,0.6525,0.0583,0.6805,0.033,0.052,0.0,-0.51,Very Low (<$0.30),39.0,0.0341,0,none,0,2.78,0.0175,0.0384,1.0,26.9,11.6729
1955,France,FRA,EUR,Europe,1950s,0.0576,0.218,0.6749,0.0596,0.6983,0.0345,0.0536,3.04,2.23,Very Low (<$0.30),39.0,0.0351,0,none,0,2.77,0.0174,0.0402,1.0,26.8,11.7164
1956,France,FRA,EUR,Europe,1950s,0.0622,0.2355,0.718,0.0658,0.7596,0.0378,0.0578,7.99,10.4,Very Low (<$0.30),39.0,0.0379,0,none,0,2.79,0.0175,0.0447,1.0,27.2,11.5441
1957,France,FRA,EUR,Europe,1950s,0.0636,0.2408,0.7107,0.0655,0.7319,0.0389,0.0591,2.25,-0.46,Very Low (<$0.30),39.0,0.0388,0,none,0,3.09,0.0194,0.0442,1.0,28.1,11.1744
1958,France,FRA,EUR,Europe,1950s,0.0642,0.243,0.6975,0.065,0.7062,0.038,0.0597,0.94,-0.76,Very Low (<$0.30),39.0,0.0392,0,none,0,3.01,0.0189,0.0453,1.0,28.9,10.8651
1959,France,FRA,EUR,Europe,1950s,0.0668,0.2529,0.7208,0.0716,0.7726,0.0399,0.0621,4.05,10.15,Very Low (<$0.30),39.0,0.0407,0,none,0,2.9,0.0182,0.0486,1.0,29.1,10.7904
1960,France,FRA,EUR,Europe,1960s,0.0705,0.2669,0.7479,0.0723,0.767,0.0424,0.0656,5.54,0.98,Very Low (<$0.30),39.0,0.043,0,none,0,2.88,0.0181,0.0524,1.0,29.6,10.6081
1961,France,FRA,EUR,Europe,1960s,0.0726,0.2748,0.7624,0.0758,0.796,0.0446,0.0675,2.98,4.84,Very Low (<$0.30),39.0,0.0443,0,none,0,2.89,0.0182,0.0544,1.0,29.9,10.5017
1962,France,FRA,EUR,Europe,1960s,0.0747,0.2828,0.7767,0.0778,0.8089,0.0454,0.0695,2.89,2.64,Very Low (<$0.30),39.0,0.0456,0,none,0,2.9,0.0182,0.0565,1.0,30.2,10.3974
1963,France,FRA,EUR,Europe,1960s,0.0775,0.2934,0.7953,0.0817,0.8384,0.0464,0.0721,3.75,5.01,Very Low (<$0.30),39.0,0.0473,0,none,0,2.89,0.0182,0.0593,1.0,30.6,10.2614
1964,France,FRA,EUR,Europe,1960s,0.077,0.2915,0.7799,0.0814,0.8245,0.0475,0.0716,-0.65,-0.37,Very Low (<$0.30),39.0,0.047,0,none,0,2.88,0.0181,0.0589,1.0,31.0,10.129
1965,France,FRA,EUR,Europe,1960s,0.0821,0.3108,0.8184,0.0861,0.8583,0.0497,0.0764,6.62,5.77,Very Low (<$0.30),39.0,0.0501,0,none,0,2.86,0.018,0.0641,1.0,31.5,9.9683
1966,France,FRA,EUR,Europe,1960s,0.0848,0.321,0.8218,0.0899,0.8713,0.0504,0.0789,3.29,4.41,Very Low (<$0.30),39.0,0.0517,0,none,0,2.88,0.0181,0.0667,1.0,32.4,9.6914
1967,France,FRA,EUR,Europe,1960s,0.0881,0.3335,0.8282,0.0931,0.8753,0.0544,0.0819,3.89,3.56,Very Low (<$0.30),39.0,0.0537,0,none,0,2.92,0.0184,0.0697,1.0,33.4,9.4012
1968,France,FRA,EUR,Europe,1960s,0.0912,0.3452,0.8229,0.0967,0.8725,0.0542,0.0848,3.52,3.87,Very Low (<$0.30),39.0,0.0556,0,none,0,2.94,0.0185,0.0727,1.0,34.8,9.023
1969,France,FRA,EUR,Europe,1960s,0.0919,0.3479,0.7863,0.0953,0.8154,0.0548,0.0855,0.77,-1.45,Very Low (<$0.30),39.0,0.0561,0,none,0,3.09,0.0194,0.0725,1.0,36.7,8.5559
1970,France,FRA,EUR,Europe,1970s,0.0973,0.3683,0.7874,0.1009,0.8166,0.0559,0.0905,5.88,5.88,Very Low (<$0.30),52.0,0.0467,0,none,0,3.18,0.02,0.0773,1.0,38.8,8.0928
1971,France,FRA,EUR,Europe,1970s,0.1106,0.4187,0.8575,0.1165,0.9032,0.0637,0.1029,13.67,15.46,Very Low (<$0.30),52.0,0.0531,0,none,0,3.6,0.0226,0.088,1.0,40.5,7.7531
1972,France,FRA,EUR,Europe,1970s,0.124,0.4694,0.9315,0.1319,0.9908,0.0749,0.1153,12.12,13.22,Very Low (<$0.30),52.0,0.0595,0,none,0,3.6,0.0226,0.1014,1.0,41.8,7.512
1973,France,FRA,EUR,Europe,1970s,0.1393,0.5273,0.9851,0.1438,1.017,0.0852,0.1295,12.34,9.02,Very Low (<$0.30),52.0,0.0669,0,none,0,4.75,0.0299,0.1094,1.2,44.4,7.0721
1974,France,FRA,EUR,Europe,1970s,0.1651,0.625,1.0515,0.1729,1.1012,0.0983,0.1535,18.52,20.24,Very Low (<$0.30),52.0,0.0792,0,none,0,9.35,0.0588,0.1063,1.55,49.3,6.3692
1975,France,FRA,EUR,Europe,1970s,0.1798,0.6806,1.0494,0.1863,1.0873,0.1056,0.1672,8.9,7.75,Very Low (<$0.30),52.0,0.0863,0,none,0,10.72,0.0674,0.1124,1.0,53.8,5.8364
1976,France,FRA,EUR,Europe,1970s,0.2156,0.8161,1.1898,0.2292,1.2648,0.1312,0.2005,19.91,23.03,Very Low (<$0.30),52.0,0.1035,0,none,0,11.51,0.0724,0.1432,1.0,56.9,5.5185
1977,France,FRA,EUR,Europe,1970s,0.2489,0.9422,1.2897,0.2585,1.3394,0.1548,0.2315,15.45,12.78,Very Low (<$0.30),52.0,0.1195,0,none,0,13.92,0.0876,0.1613,1.0,60.6,5.1815
1978,France,FRA,EUR,Europe,1970s,0.2935,1.111,1.4135,0.3021,1.4549,0.174,0.273,17.92,16.87,Very Low (<$0.30),52.0,0.1409,0,none,0,14.02,0.0882,0.2053,1.0,65.2,4.816
1979,France,FRA,EUR,Europe,1970s,0.3557,1.3465,1.5384,0.3653,1.5799,0.2126,0.3308,21.19,20.92,Low ($0.30–$0.70),52.0,0.1707,0,none,0,31.61,0.1988,0.1569,1.3,72.6,4.3251
1980,France,FRA,EUR,Europe,1980s,0.4223,1.5986,1.6093,0.4448,1.695,0.2515,0.3927,18.72,21.76,Low ($0.30–$0.70),65.0,0.1478,0,none,0,36.83,0.2317,0.1906,1.25,82.4,3.8107
1981,France,FRA,EUR,Europe,1980s,0.4382,1.6588,1.5137,0.4534,1.5662,0.2634,0.4075,3.77,1.93,Low ($0.30–$0.70),65.1,0.1529,0,none,0,35.75,0.2249,0.2133,1.0,90.9,3.4543
1982,France,FRA,EUR,Europe,1980s,0.4601,1.7417,1.4971,0.4853,1.5791,0.2697,0.4279,5.0,7.04,Low ($0.30–$0.70),65.2,0.1601,0,none,0,31.82,0.2001,0.26,1.0,96.5,3.2539
1983,France,FRA,EUR,Europe,1980s,0.4995,1.8908,1.5747,0.5261,1.6586,0.3003,0.4645,8.56,8.41,Low ($0.30–$0.70),65.3,0.1733,0,none,0,29.55,0.1859,0.3136,1.0,99.6,3.1526
1984,France,FRA,EUR,Europe,1980s,0.5064,1.9169,1.5304,0.5222,1.5782,0.3049,0.471,1.38,-0.74,Low ($0.30–$0.70),65.4,0.1752,0,none,0,28.78,0.181,0.3254,1.0,103.9,3.0221
1985,France,FRA,EUR,Europe,1980s,0.5318,2.0131,1.5519,0.5779,1.6864,0.3201,0.4946,5.02,10.67,Low ($0.30–$0.70),65.5,0.1835,0,none,0,27.56,0.1733,0.3585,1.0,107.6,2.9182
1986,France,FRA,EUR,Europe,1980s,0.5669,2.1459,1.6241,0.6017,1.7238,0.3418,0.5272,6.6,4.12,Low ($0.30–$0.70),65.6,0.195,0,none,0,14.43,0.0908,0.4761,0.75,109.6,2.865
1987,France,FRA,EUR,Europe,1980s,0.5885,2.2277,1.6267,0.6189,1.7107,0.3483,0.5473,3.81,2.86,Low ($0.30–$0.70),65.7,0.2019,0,none,0,18.44,0.116,0.4725,1.0,113.6,2.7641
1988,France,FRA,EUR,Europe,1980s,0.6055,2.2921,1.6072,0.6297,1.6714,0.3653,0.5631,2.89,1.75,Low ($0.30–$0.70),65.8,0.2071,0,none,0,14.92,0.0938,0.5117,1.0,118.3,2.6543
1989,France,FRA,EUR,Europe,1980s,0.6484,2.4545,1.6419,0.6935,1.7561,0.3804,0.603,7.09,10.13,Low ($0.30–$0.70),65.9,0.2211,0,none,0,18.33,0.1153,0.5331,1.0,124.0,2.5323
1990,France,FRA,EUR,Europe,1990s,0.6777,2.5654,1.6281,0.6847,1.645,0.3923,0.6303,4.52,-1.27,Low ($0.30–$0.70),66.0,0.2304,0,none,0,23.73,0.1493,0.5284,1.0,130.7,2.4024
1991,France,FRA,EUR,Europe,1990s,0.707,2.6763,1.6299,0.7177,1.6546,0.4236,0.6575,4.32,4.82,Medium ($0.70–$1.10),66.1,0.2397,0,none,0,20.2,0.1271,0.5799,1.0,136.2,2.3054
1992,France,FRA,EUR,Europe,1990s,0.7543,2.8553,1.6882,0.7963,1.7822,0.4722,0.7015,6.69,10.95,Medium ($0.70–$1.10),66.2,0.255,0,none,0,19.32,0.1215,0.6328,1.0,140.3,2.2381
1993,France,FRA,EUR,Europe,1990s,0.7838,2.967,1.7032,0.8435,1.8329,0.4727,0.7289,3.91,5.93,Medium ($0.70–$1.10),66.3,0.2641,0,none,0,16.97,0.1067,0.6771,1.0,144.5,2.173
1994,France,FRA,EUR,Europe,1990s,0.818,3.0965,1.7331,0.8676,1.8382,0.4947,0.7607,4.36,2.86,Medium ($0.70–$1.10),66.4,0.2748,0,none,0,15.82,0.0995,0.7185,1.0,148.2,2.1188
1995,France,FRA,EUR,Europe,1990s,0.8523,3.2263,1.7561,0.8989,1.8521,0.5025,0.7926,4.19,3.61,Medium ($0.70–$1.10),66.5,0.2855,0,none,0,17.02,0.1071,0.7452,1.0,152.4,2.0604
1996,France,FRA,EUR,Europe,1990s,0.8722,3.3016,1.7455,0.9228,1.8468,0.5361,0.8111,2.33,2.66,Medium ($0.70–$1.10),66.6,0.2913,0,none,0,22.12,0.1391,0.7331,1.0,156.9,2.0013
1997,France,FRA,EUR,Europe,1990s,0.9177,3.4739,1.7954,0.965,1.8879,0.5345,0.8535,5.22,4.57,Medium ($0.70–$1.10),66.7,0.3056,0,none,0,19.09,0.1201,0.7976,1.0,160.5,1.9564
1998,France,FRA,EUR,Europe,1990s,0.9097,3.4436,1.7524,0.9731,1.8746,0.5617,0.846,-0.87,0.84,Medium ($0.70–$1.10),66.8,0.302,0,none,0,13.07,0.0822,0.8275,0.82,163.0,1.9264
1999,France,FRA,EUR,Europe,1990s,0.9646,3.6514,1.818,1.0086,1.901,0.5925,0.8971,6.03,3.65,Medium ($0.70–$1.10),66.9,0.3193,0,none,0,17.97,0.113,0.8516,1.0,166.6,1.8848
